category_id,category_name
1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
2,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
3,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables"
4,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
5,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls"
6,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions"
7,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts"
8,"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables"
9,Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts
10,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables"
11,"Electronics|HomeTheater,TV&Video|Projectors"
12,Electronics|HomeAudio|Accessories|Adapters
13,"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers"
14,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables
15,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables"
16,Electronics|HomeAudio|MediaStreamingDevices|StreamingClients
17,"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers"
18,Electronics|HomeAudio|Speakers|TowerSpeakers
19,"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses"
20,Electronics|WearableTechnology|SmartWatches
21,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks
22,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones
23,Electronics|Accessories|MemoryCards|MicroSD
24,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles
25,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear"
26,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers
27,Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles
28,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers
29,Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters
30,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods
31,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks
32,Electronics|Mobiles&Accessories|MobileAccessories|Stands
33,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors
34,Electronics|Mobiles&Accessories|MobileAccessories|Décor
35,"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors"
36,Electronics|Mobiles&Accessories|MobileAccessories|StylusPens
37,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts
38,Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases
39,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts
40,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear"
41,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers
42,"Electronics|Headphones,Earbuds&Accessories|Adapters"
43,Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms
44,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts
45,Computers&Accessories|ExternalDevices&DataStorage|PenDrives
46,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice"
47,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets"
48,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks
49,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands
50,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards"
51,MusicalInstruments|Microphones|Condenser
52,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries
53,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens"
54,Home&Kitchen|CraftMaterials|Scrapbooking|Tape
55,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets"
56,Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks
57,Electronics|Cameras&Photography|VideoCameras
58,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods
59,OfficeProducts|OfficeElectronics|Calculators|Scientific
60,Computers&Accessories|NetworkingDevices|Repeaters&Extenders
61,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs
62,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges"
63,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers"
64,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice
65,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints
66,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads"
67,Computers&Accessories|Accessories&Peripherals|HardDiskBags
68,Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes
69,Computers&Accessories|NetworkingDevices
70,Computers&Accessories|NetworkingDevices|Routers
71,"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear"
72,Electronics|HomeAudio|Speakers|BluetoothSpeakers
73,Electronics|GeneralPurposeBatteries&BatteryChargers
74,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks"
75,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries
76,Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters
77,Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters
78,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits
79,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks"
80,Electronics|Cameras&Photography|Accessories|Film
81,Computers&Accessories|Monitors
82,Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps
83,Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits
84,Electronics|Cameras&Photography|SecurityCameras|DomeCameras
85,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors
86,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads
87,OfficeProducts|OfficeElectronics|Calculators|Basic
88,Computers&Accessories|Accessories&Peripherals|USBHubs
89,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones
90,Electronics|HomeAudio|Speakers|OutdoorSpeakers
91,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases
92,Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders
